 , ,,,,,,,,
Time,2023-06-03 08:37:36.356103591 +0100 BST m=+0.104630190,,,,,,,,
Toponame,./config/pi_nodes.csv,,,,,,,,
RequestFile,./config/sorted.csv,,,,,,,,
MemCap,1000,,,,,,,,
NodeNum,10,,,,,,,,
Beta,1,,,,,,,,
SlotNum,30,,,,,,,,
ReduFactor,10000,,,,,,,,cold-start
Token,local,,,,,,,,
Alpha,0.001,,,,,,,,
CommCostPara,1,,,,,,,,0.35
Testbed,0,,,,,,,,0.37
CpuFreq,3,,,,,,,,0.38
 , ,,,,,,,,0.37
ID,funcType,commCost,runCost,instanCost,iscold,singlecost,,,0.35
0,1,0,0.17,18.62,1,18.78,,,0.35
1,1,0,0.17,18.62,1,18.78,,,
2,1,0,0.17,18.62,1,18.78,,,
3,1,0,0.17,18.62,1,18.78,,,
4,1,0,0.17,18.62,1,18.78,,,
5,1,0,0.17,18.62,1,18.78,,,
6,1,0,0.17,18.62,1,18.78,,,
7,1,0,0.17,18.62,1,18.78,,,
8,2,0,0.48,52.98,1,53.46,,,
9,2,0,0.48,52.98,1,53.46,,,
10,2,0,0.48,52.98,1,53.46,,,
11,2,0,0.48,52.98,1,53.46,,,
12,2,0,0.48,52.98,1,53.46,,,
13,2,0,0.48,52.98,1,53.46,,,
14,2,0,0.48,52.98,1,53.46,,,
15,2,0,0.48,52.98,1,53.46,,,
16,2,0,0.48,52.98,1,53.46,,,
8475,3,0,0.99,110.37,1,111.36,,,
8478,3,0,0.99,110.37,1,111.36,,,
8479,3,0,0.99,110.37,1,111.36,,,
8480,3,0,0.99,110.37,1,111.36,,,
8481,3,0,0.99,110.37,1,111.36,,,
8482,3,0,0.99,110.37,1,111.36,,,
15650,4,0,0.28,30.59,1,30.87,,,
17,2,0,0.48,0,0,0.48,,,
18,2,0,0.48,0,0,0.48,,,
19,2,1.38,0.48,0,0,1.86,,,
20,2,0,0.48,52.98,1,53.46,,,
22,2,0,0.48,52.98,1,53.46,,,
23,2,0,0.48,52.98,1,53.46,,,
24,2,0,0.48,52.98,1,53.46,,,
25,2,0,0.48,52.98,1,53.46,,,
8483,3,0,0.99,0,0,0.99,,,
8484,3,1.38,0.99,0,0,2.38,,,
8487,3,0,0.99,110.37,1,111.36,,,
8488,3,0,0.99,110.37,1,111.36,,,
8489,3,0,0.99,110.37,1,111.36,,,
15652,4,0,0.28,30.59,1,30.87,,,
26,2,0,0.48,0,0,0.48,,,
27,2,1.38,0.48,0,0,1.86,,,
29,2,0,0.48,52.98,1,53.46,,,
30,2,0,0.48,52.98,1,53.46,,,
31,2,0,0.48,52.98,1,53.46,,,
32,2,0,0.48,52.98,1,53.46,,,
33,2,0,0.48,52.98,1,53.46,,,
34,2,0,0.48,52.98,1,53.46,,,
8490,3,0,0.99,0,0,0.99,,,
8491,3,1.5,0.99,0,0,2.5,,,
8495,3,0,0.99,110.37,1,111.36,,,
8496,3,0,0.99,110.37,1,111.36,,,
15654,4,0.46,0.28,0,0,0.74,,,
15656,4,0,0.28,30.59,1,30.87,,,
35,2,0,0.48,0,0,0.48,,,
36,2,1.38,0.48,0,0,1.86,,,
37,2,0.46,0.48,0,0,0.94,,,
40,2,0,0.48,52.98,1,53.46,,,
42,2,0,0.48,52.98,1,53.46,,,
43,2,0,0.48,52.98,1,53.46,,,
8497,3,0,0.99,0,0,0.99,,,
8498,3,1.5,0.99,0,0,2.5,,,
15657,4,0.55,0.28,0,0,0.82,,,
15659,4,0,0.28,30.59,1,30.87,,,
44,2,0,0.48,0,0,0.48,,,
45,2,1.38,0.48,0,0,1.86,,,
46,2,0,0.48,52.98,1,53.46,,,
47,2,0,0.48,52.98,1,53.46,,,
49,2,0,0.48,52.98,1,53.46,,,
8504,3,1.5,0.99,0,0,2.5,,,
8510,3,0,0.99,110.37,1,111.36,,,
15660,4,0,0.28,30.59,1,30.87,,,
15662,4,0,0.28,30.59,1,30.87,,,
53,2,0,0.48,0,0,0.48,,,
54,2,1.38,0.48,0,0,1.86,,,
8511,3,1.5,0.99,0,0,2.5,,,
15663,4,0,0.28,0,0,0.28,,,
15665,4,0,0.28,30.59,1,30.87,,,
62,2,0,0.48,0,0,0.48,,,
63,2,1.38,0.48,0,0,1.86,,,
64,2,0,0.48,52.98,1,53.46,,,
8518,3,1.5,0.99,0,0,2.5,,,
15666,4,0,0.28,0,0,0.28,,,
15668,4,0,0.28,30.59,1,30.87,,,
71,2,0,0.48,0,0,0.48,,,
72,2,1.38,0.48,0,0,1.86,,,
78,2,0,0.48,52.98,1,53.46,,,
79,2,0,0.48,52.98,1,53.46,,,
80,2,0,0.48,52.98,1,53.46,,,
81,2,0,0.48,52.98,1,53.46,,,
8525,3,1.04,0.99,0,0,2.03,,,
8530,3,0,0.99,110.37,1,111.36,,,
15669,4,0,0.28,0,0,0.28,,,
15670,4,0.49,0.28,0,0,0.77,,,
82,2,0,0.48,0,0,0.48,,,
83,2,1.5,0.48,0,0,1.98,,,
89,2,0,0.48,52.98,1,53.46,,,
90,2,0,0.48,52.98,1,53.46,,,
8532,3,1.04,0.99,0,0,2.03,,,
15672,4,0.55,0.28,0,0,0.82,,,
91,2,0,0.48,0,0,0.48,,,
92,2,1.5,0.48,0,0,1.98,,,
98,2,0,0.48,52.98,1,53.46,,,
101,2,0,0.48,52.98,1,53.46,,,
8539,3,1.04,0.99,0,0,2.03,,,
15675,4,0.55,0.28,0,0,0.82,,,
102,2,0,0.48,0,0,0.48,,,
103,2,1.5,0.48,0,0,1.98,,,
107,2,0,0.48,52.98,1,53.46,,,
8546,3,1.04,0.99,0,0,2.03,,,
15678,4,0.55,0.28,0,0,0.82,,,
111,2,0,0.48,0,0,0.48,,,
112,2,1.5,0.48,0,0,1.98,,,
8553,3,1.04,0.99,0,0,2.03,,,
15681,4,0,0.28,30.59,1,30.87,,,
15683,4,0,0.28,30.59,1,30.87,,,
120,2,0,0.48,0,0,0.48,,,
121,2,1.5,0.48,0,0,1.98,,,
8560,3,1.04,0.99,0,0,2.03,,,
15684,4,0,0.28,0,0,0.28,,,
15685,4,0.49,0.28,0,0,0.77,,,
129,2,0,0.48,0,0,0.48,,,
130,2,1.5,0.48,0,0,1.98,,,
8567,3,1.04,0.99,0,0,2.03,,,
15687,4,0,0.28,0,0,0.28,,,
15688,4,0.49,0.28,0,0,0.77,,,
138,2,0,0.48,0,0,0.48,,,
139,2,1.5,0.48,0,0,1.98,,,
8574,3,1.04,0.99,0,0,2.03,,,
15690,4,0.55,0.28,0,0,0.82,,,
147,2,0,0.48,0,0,0.48,,,
148,2,1.5,0.48,0,0,1.98,,,
8581,3,1.04,0.99,0,0,2.03,,,
15693,4,0.55,0.28,0,0,0.82,,,
156,2,0,0.48,0,0,0.48,,,
157,2,1.5,0.48,0,0,1.98,,,
8588,3,1.04,0.99,0,0,2.03,,,
15696,4,0.55,0.28,0,0,0.82,,,
165,2,0,0.48,0,0,0.48,,,
166,2,1.5,0.48,0,0,1.98,,,
8595,3,1.04,0.99,0,0,2.03,,,
15699,4,0.55,0.28,0,0,0.82,,,
174,2,0,0.48,0,0,0.48,,,
175,2,1.5,0.48,0,0,1.98,,,
8602,3,1.04,0.99,0,0,2.03,,,
15702,4,0,0.28,30.59,1,30.87,,,
183,2,0,0.48,0,0,0.48,,,
184,2,1.5,0.48,0,0,1.98,,,
8609,3,1.04,0.99,0,0,2.03,,,
15704,4,0,0.28,0,0,0.28,,,
15706,4,0,0.28,30.59,1,30.87,,,
192,2,0,0.48,0,0,0.48,,,
193,2,1.5,0.48,0,0,1.98,,,
8616,3,1.04,0.99,0,0,2.03,,,
15707,4,0,0.28,0,0,0.28,,,
15708,4,0.49,0.28,0,0,0.77,,,
201,2,0,0.48,0,0,0.48,,,
202,2,1.5,0.48,0,0,1.98,,,
8623,3,1.04,0.99,0,0,2.03,,,
15710,4,0,0.28,0,0,0.28,,,
15711,4,0.49,0.28,0,0,0.77,,,
210,2,0,0.48,0,0,0.48,,,
211,2,1.5,0.48,0,0,1.98,,,
8630,3,1.04,0.99,0,0,2.03,,,
15713,4,0,0.28,0,0,0.28,,,
15714,4,0.49,0.28,0,0,0.77,,,
219,2,0,0.48,0,0,0.48,,,
220,2,1.5,0.48,0,0,1.98,,,
8637,3,1.04,0.99,0,0,2.03,,,
15716,4,0,0.28,0,0,0.28,,,
15717,4,0.49,0.28,0,0,0.77,,,
228,2,0,0.48,0,0,0.48,,,
229,2,1.5,0.48,0,0,1.98,,,
8644,3,1.04,0.99,0,0,2.03,,,
15719,4,0,0.28,0,0,0.28,,,
15720,4,0.49,0.28,0,0,0.77,,,
237,2,0,0.48,0,0,0.48,,,
238,2,1.5,0.48,0,0,1.98,,,
8651,3,1.04,0.99,0,0,2.03,,,
15722,4,0,0.28,0,0,0.28,,,
15723,4,0.49,0.28,0,0,0.77,,,
246,2,0,0.48,0,0,0.48,,,
247,2,1.5,0.48,0,0,1.98,,,
8658,3,1.04,0.99,0,0,2.03,,,
15725,4,0,0.28,0,0,0.28,,,
15726,4,0.49,0.28,0,0,0.77,,,
255,2,0,0.48,0,0,0.48,,,
256,2,1.5,0.48,0,0,1.98,,,
8665,3,1.04,0.99,0,0,2.03,,,
15728,4,0.55,0.28,0,0,0.82,,,
264,2,0,0.48,0,0,0.48,,,
265,2,1.5,0.48,0,0,1.98,,,
8672,3,1.04,0.99,0,0,2.03,,,
15731,4,0.55,0.28,0,0,0.82,,,
273,2,0,0.48,0,0,0.48,,,
274,2,1.5,0.48,0,0,1.98,,,
8679,3,1.04,0.99,0,0,2.03,,,
15734,4,0.55,0.28,0,0,0.82,,,
coldnum,servednum,totalnum,coldfreq,commcost,instancost,latencycost,runcost,avgcost,
69,196,581,0.35,0.45,19.68,20.13,0.53,20.66,
 , ,,,,,,,,
Time,2023-06-03 08:37:45.084448968 +0100 BST m=+0.122905242,,,,,,,,
Toponame,./config/pi_nodes.csv,,,,,,,,
RequestFile,./config/sorted.csv,,,,,,,,
MemCap,1000,,,,,,,,
NodeNum,10,,,,,,,,
Beta,1,,,,,,,,
SlotNum,30,,,,,,,,
ReduFactor,10000,,,,,,,,
Token,local,,,,,,,,
Alpha,0.005,,,,,,,,
CommCostPara,1,,,,,,,,
Testbed,0,,,,,,,,
CpuFreq,3,,,,,,,,
 , ,,,,,,,,
ID,funcType,commCost,runCost,instanCost,iscold,singlecost,,,
0,1,0,0.84,18.62,1,19.45,,,
1,1,0,0.84,18.62,1,19.45,,,
2,1,0,0.84,18.62,1,19.45,,,
3,1,0,0.84,18.62,1,19.45,,,
4,1,0,0.84,18.62,1,19.45,,,
5,1,0,0.84,18.62,1,19.45,,,
6,1,0,0.84,18.62,1,19.45,,,
7,1,0,0.84,18.62,1,19.45,,,
8,2,0,2.38,52.98,1,55.36,,,
9,2,0,2.38,52.98,1,55.36,,,
10,2,0,2.38,52.98,1,55.36,,,
11,2,0,2.38,52.98,1,55.36,,,
12,2,0,2.38,52.98,1,55.36,,,
13,2,0,2.38,52.98,1,55.36,,,
14,2,0,2.38,52.98,1,55.36,,,
15,2,0,2.38,52.98,1,55.36,,,
16,2,0,2.38,52.98,1,55.36,,,
8475,3,0,4.97,110.37,1,115.34,,,
8478,3,0,4.97,110.37,1,115.34,,,
8479,3,0,4.97,110.37,1,115.34,,,
8480,3,0,4.97,110.37,1,115.34,,,
8481,3,0,4.97,110.37,1,115.34,,,
8482,3,0,4.97,110.37,1,115.34,,,
15650,4,0,1.38,30.59,1,31.97,,,
17,2,0,2.38,0,0,2.38,,,
18,2,0,2.38,0,0,2.38,,,
19,2,1.38,2.38,0,0,3.77,,,
20,2,0,2.38,52.98,1,55.36,,,
22,2,0,2.38,52.98,1,55.36,,,
23,2,0,2.38,52.98,1,55.36,,,
24,2,0,2.38,52.98,1,55.36,,,
25,2,0,2.38,52.98,1,55.36,,,
8483,3,0,4.97,0,0,4.97,,,
8484,3,1.38,4.97,0,0,6.35,,,
8487,3,0,4.97,110.37,1,115.34,,,
8488,3,0,4.97,110.37,1,115.34,,,
8489,3,0,4.97,110.37,1,115.34,,,
15651,4,0.47,1.38,0,0,1.84,,,
15652,4,0,1.38,30.59,1,31.97,,,
26,2,0,2.38,0,0,2.38,,,
27,2,1.38,2.38,0,0,3.77,,,
28,2,0,2.38,52.98,1,55.36,,,
29,2,0,2.38,52.98,1,55.36,,,
30,2,0,2.38,52.98,1,55.36,,,
31,2,0,2.38,52.98,1,55.36,,,
33,2,0,2.38,52.98,1,55.36,,,
34,2,0,2.38,52.98,1,55.36,,,
8490,3,1.5,4.97,0,0,6.47,,,
8495,3,0,4.97,110.37,1,115.34,,,
8496,3,0,4.97,110.37,1,115.34,,,
15654,4,0.47,1.38,0,0,1.84,,,
15655,4,0,1.38,30.59,1,31.97,,,
35,2,0,2.38,0,0,2.38,,,
36,2,1.38,2.38,0,0,3.77,,,
37,2,0.46,2.38,0,0,2.85,,,
40,2,0,2.38,52.98,1,55.36,,,
41,2,0,2.38,52.98,1,55.36,,,
42,2,0,2.38,52.98,1,55.36,,,
43,2,0,2.38,52.98,1,55.36,,,
8497,3,1.5,4.97,0,0,6.47,,,
8503,3,0,4.97,110.37,1,115.34,,,
15657,4,0,1.38,30.59,1,31.97,,,
15658,4,0,1.38,30.59,1,31.97,,,
15659,4,0,1.38,30.59,1,31.97,,,
44,2,0,2.38,0,0,2.38,,,
45,2,1.38,2.38,0,0,3.77,,,
49,2,0,2.38,52.98,1,55.36,,,
52,2,0,2.38,52.98,1,55.36,,,
8504,3,1.5,4.97,0,0,6.47,,,
15660,4,0.55,1.38,0,0,1.92,,,
15661,4,0,1.38,30.59,1,31.97,,,
15662,4,0,1.38,30.59,1,31.97,,,
53,2,0,2.38,0,0,2.38,,,
54,2,1.38,2.38,0,0,3.77,,,
55,2,0,2.38,52.98,1,55.36,,,
58,2,0,2.38,52.98,1,55.36,,,
60,2,0,2.38,52.98,1,55.36,,,
61,2,0,2.38,52.98,1,55.36,,,
8511,3,1.5,4.97,0,0,6.47,,,
15663,4,0.55,1.38,0,0,1.92,,,
15664,4,0,1.38,30.59,1,31.97,,,
62,2,0,2.38,0,0,2.38,,,
63,2,1.38,2.38,0,0,3.77,,,
69,2,0,2.38,52.98,1,55.36,,,
8518,3,1.5,4.97,0,0,6.47,,,
15666,4,0,1.38,30.59,1,31.97,,,
15667,4,0,1.38,30.59,1,31.97,,,
15668,4,0,1.38,30.59,1,31.97,,,
71,2,0,2.38,0,0,2.38,,,
72,2,1.38,2.38,0,0,3.77,,,
78,2,0,2.38,52.98,1,55.36,,,
8525,3,1.5,4.97,0,0,6.47,,,
8530,3,0,4.97,110.37,1,115.34,,,
15669,4,0.55,1.38,0,0,1.92,,,
82,2,0,2.38,0,0,2.38,,,
83,2,1.38,2.38,0,0,3.77,,,
86,2,0,2.38,52.98,1,55.36,,,
8532,3,1.5,4.97,0,0,6.47,,,
15672,4,0.55,1.38,0,0,1.92,,,
91,2,0,2.38,0,0,2.38,,,
92,2,1.38,2.38,0,0,3.77,,,
98,2,0,2.38,52.98,1,55.36,,,
101,2,0,2.38,52.98,1,55.36,,,
8539,3,1.04,4.97,0,0,6,,,
15675,4,0.55,1.38,0,0,1.92,,,
102,2,0,2.38,0,0,2.38,,,
103,2,1.5,2.38,0,0,3.89,,,
8546,3,1.04,4.97,0,0,6,,,
15678,4,0,1.38,30.59,1,31.97,,,
15680,4,0,1.38,30.59,1,31.97,,,
111,2,0,2.38,0,0,2.38,,,
112,2,1.5,2.38,0,0,3.89,,,
8553,3,1.04,4.97,0,0,6,,,
15681,4,0,1.38,0,0,1.38,,,
15682,4,0.49,1.38,0,0,1.87,,,
120,2,0,2.38,0,0,2.38,,,
121,2,1.5,2.38,0,0,3.89,,,
8560,3,1.04,4.97,0,0,6,,,
15684,4,0,1.38,0,0,1.38,,,
15685,4,0.49,1.38,0,0,1.87,,,
129,2,0,2.38,0,0,2.38,,,
130,2,1.5,2.38,0,0,3.89,,,
8567,3,1.04,4.97,0,0,6,,,
15687,4,0,1.38,0,0,1.38,,,
15688,4,0.49,1.38,0,0,1.87,,,
138,2,0,2.38,0,0,2.38,,,
139,2,1.5,2.38,0,0,3.89,,,
8574,3,1.04,4.97,0,0,6,,,
15690,4,0,1.38,0,0,1.38,,,
15691,4,0.49,1.38,0,0,1.87,,,
147,2,0,2.38,0,0,2.38,,,
148,2,1.5,2.38,0,0,3.89,,,
8581,3,1.04,4.97,0,0,6,,,
15693,4,0,1.38,0,0,1.38,,,
15694,4,0.49,1.38,0,0,1.87,,,
156,2,0,2.38,0,0,2.38,,,
157,2,1.5,2.38,0,0,3.89,,,
8588,3,1.04,4.97,0,0,6,,,
15696,4,0,1.38,0,0,1.38,,,
15697,4,0.49,1.38,0,0,1.87,,,
165,2,0,2.38,0,0,2.38,,,
166,2,1.5,2.38,0,0,3.89,,,
8595,3,1.04,4.97,0,0,6,,,
15699,4,0,1.38,0,0,1.38,,,
15700,4,0.49,1.38,0,0,1.87,,,
174,2,0,2.38,0,0,2.38,,,
175,2,1.5,2.38,0,0,3.89,,,
8602,3,1.04,4.97,0,0,6,,,
15702,4,0.55,1.38,0,0,1.92,,,
183,2,0,2.38,0,0,2.38,,,
184,2,1.5,2.38,0,0,3.89,,,
8609,3,1.04,4.97,0,0,6,,,
15704,4,0.55,1.38,0,0,1.92,,,
192,2,0,2.38,0,0,2.38,,,
193,2,1.5,2.38,0,0,3.89,,,
8616,3,1.04,4.97,0,0,6,,,
15707,4,0.55,1.38,0,0,1.92,,,
201,2,0,2.38,0,0,2.38,,,
202,2,1.5,2.38,0,0,3.89,,,
8623,3,1.04,4.97,0,0,6,,,
15710,4,0.55,1.38,0,0,1.92,,,
210,2,0,2.38,0,0,2.38,,,
211,2,1.5,2.38,0,0,3.89,,,
8630,3,1.04,4.97,0,0,6,,,
15713,4,0,1.38,30.59,1,31.97,,,
15715,4,0,1.38,30.59,1,31.97,,,
219,2,0,2.38,0,0,2.38,,,
220,2,1.5,2.38,0,0,3.89,,,
8637,3,1.04,4.97,0,0,6,,,
15716,4,0.55,1.38,0,0,1.92,,,
228,2,0,2.38,0,0,2.38,,,
229,2,1.5,2.38,0,0,3.89,,,
8644,3,1.04,4.97,0,0,6,,,
15719,4,0.55,1.38,0,0,1.92,,,
237,2,0,2.38,0,0,2.38,,,
238,2,1.5,2.38,0,0,3.89,,,
8651,3,1.04,4.97,0,0,6,,,
15722,4,0.55,1.38,0,0,1.92,,,
246,2,0,2.38,0,0,2.38,,,
247,2,1.5,2.38,0,0,3.89,,,
8658,3,1.04,4.97,0,0,6,,,
15725,4,0.55,1.38,0,0,1.92,,,
255,2,0,2.38,0,0,2.38,,,
256,2,1.5,2.38,0,0,3.89,,,
8665,3,1.04,4.97,0,0,6,,,
15728,4,0.55,1.38,0,0,1.92,,,
264,2,0,2.38,0,0,2.38,,,
265,2,1.5,2.38,0,0,3.89,,,
8672,3,1.04,4.97,0,0,6,,,
15731,4,0.55,1.38,0,0,1.92,,,
273,2,0,2.38,0,0,2.38,,,
274,2,1.5,2.38,0,0,3.89,,,
8679,3,1.04,4.97,0,0,6,,,
15734,4,0.55,1.38,0,0,1.92,,,
coldnum,servednum,totalnum,coldfreq,commcost,instancost,latencycost,runcost,avgcost,
72,194,581,0.37,0.46,20.24,20.71,2.64,23.35,
 , ,,,,,,,,
Time,2023-06-03 08:37:58.000652032 +0100 BST m=+0.094416456,,,,,,,,
Toponame,./config/pi_nodes.csv,,,,,,,,
RequestFile,./config/sorted.csv,,,,,,,,
MemCap,1000,,,,,,,,
NodeNum,10,,,,,,,,
Beta,1,,,,,,,,
